job_id,job_name,company_name,job_location,job_metadata,job_url,original_url
4092074034,Experienced Apprentice Electrician - Commercial,Weifield Group Contracting | A LOENBRO Company,"Centennial, CO (On-site)","$23/hr - $29/hr · 401(k), Medical, Vision, +1 benefit",https://www.linkedin.com/jobs/view/4092074034/?eBP=CwEAAAGZhxZCI9vwBpBI6eId1Zx3Mf1JuIGWmnJtjEnsoAv9T0iE-htd73q_t3lftPPZfTYGC77a3gd-El5lFq0fQe5-YQRZYOEye0d9j9YoYnNmAqtZaQVFwBJnInY4rCW0w_T_GGlzvXzvIJPRiysjjagNKVTadpohwooei1qs1dROGU4GrpafBr73-HM4txURoUM1FmtAjmnkSTtnTNtH0sA3j4Mr4yV537kSf6owb6lMUjH3_d8RP75_gigJw_ZJeFzlbPdNrg3L2nQxcYG4KMOksHtPqlAvh1_xHdGuRJtHpgn5RL5eBdJAWDLN-9HDwfGLR5BT2BiAFmH2peHSiPC8-ZKtkXqpmSqlJ1q1CuaXyaVDIrIoQH3acaDssAH_dudZK-lQQdo9y3Y15FH2_kLNLgsh7jixxrgZOxBp4CcKgak97sKHBpB-dIBQ7_1na97mJzguUqIkkabdacPYmOCQFnPYaC3ujBsc-DBlfngM_gftr6r7uvzt_a7tI_PFKQA&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=UbrP4fMEOUvYe1oeK2HrzQ%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4150887505,2025 Summer Civil Engineer Assistant,BKF Engineers,"Pleasanton, CA (On-site)",$20/hr - $31.47/hr,https://www.linkedin.com/jobs/view/4150887505/?eBP=CwEAAAGZhxZCI2hKoJCF4gOaMS9-HIpIFrV5_aYaZvE4Jn79WmAMtMTp9xIFLCeMZRLT6IrO9xpGav6VuH3ZQIwheDhImSPJEny9puU3iShGo6oddcgbZxpeGaYI8dRzYGuo2RetSRxb68mfCl7Q55u7IVbEcwKkj44un2nX8l-W34EmPS13w3aePHX_SF_7oeF9QtHDRUx9YVtpn-SNcKsdUN4un8_GhXj5AheyUATUcfVZZgNlBdW1utAOdW70y6hSIsu7TdUMZ5S49RTBftDCKvkM871uxyd30sFDt4N3K8WGr-6RGzsB_zDJOlOn-HXk5YpiNvO_2FnZmUnTZB1y8rDzaukH7rGZlHQax22kPNrfvJwv5CDQI-8EkwWW9ED7dyMvTNIoPfez3jLEnlBySmNvbhhWGx0w3TDbvz9KjjyLaWDAVHhK6KUcYxQkT9YUsVxLo1ryI1dLHcOW4Za0THbQEna9Ju4ddgtotYs_x6MY9Wu9GkGVO546DR7ojhFH&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=krkIemetRsSqmW5A1Y4bPw%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4268452702,Engineer Intern Applicant - Engineer Intern 2,Louisiana Department Of Transportation and Development,"Baton Rouge, LA (On-site)",$96.3K/yr,https://www.linkedin.com/jobs/view/4268452702/?eBP=CwEAAAGZhxZCIxcjvbXlv3pYAXQyzADNPa8umqF-RBwHkhQmlqQB093KVmFhuVEN7ONVdLb8dnW3EN98zhL6nsrgzJCzMWeR-ul3cz28ha4aiHHvP7S84ku8Z7nl9Ft6rpFrfvYT1a_GqM60oVaZlWrFHVvFpyW7amwoAVX3hlu7vJ1lhSLF1yAqwQ-uiMbln1sVA9Tz2Qr_Z-PQsY9-8NKWX-2c4qMhy7PljPub4NWRW61XDhwTGI2PQbTuOHwqko8XAH2KumHuJEXFEbtHpTcXt8DfTQiqvDekWAMu-gHVtyebIus9D-CTGsl5HSCf4YhAZsJuBSPi8WvIbMTLSzJvqV2ElbQdWeL9aithGUdS2XDa8_e_umZ551aYNV4UnmlP_wjg6E4T2k82LxbgfSjvIePVzz4m4HzVY4t5EN2rPatX_39sZnv8F7p6YQEqSNXkAQucfvGZQAHPqHbbp0WYADz3Tgk6Fyb2utSSR1E3S-Wn21Qxpy-e1RWe9CB2eb1SwYisHg&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=h3lpH1odGAO7l8px7F9dVQ%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4208295571,Engineering Intern - Secure Design,Walter P Moore,"Washington, DC (On-site)",$25.30/hr - $35.20/hr,https://www.linkedin.com/jobs/view/4208295571/?eBP=CwEAAAGZhxZCI-jHUYGvJvpSDPCrhNcVhmWJyU9E5NSPRGzXnI9ZSkrX2Jy2BbpixsVFfHSZe45tKYfa9HqVhpTMeCeAS2HvxFc7KIZZCtsPvDPcdubz2stSISpHUEBtkZ3LDsC9bogu-UXaVs7MRkQL__c6DyGb2IC49WR4asKN-5RPcYYG0-aIGbuVUgAQk4LdXpvnPPrx3FgLfDThUmZHZc84FHg_bWYxCU5naypSjwbyRb7Y0_bi0e5gllEgDXHRlZYf451b2OH9u94v8P0nIAIQH3c2JTk6Zk9BtXzHx9xAjI4fZM0tuQSn8CsxQvt5nq5KffGkCQe252H_SbyoZAgRTCVKNDz3yIH1Q-_CovzePS5Rf1eBvBjJbZnbe7NeUnwo6xc8aq7n_qcH7MprGBqdiCHcAAiiu0N-3WG9z_KzvnyTWB1wKZg056ODfogpaOrVZDx4Cz19VICA_cFkUHnrv5vMWq0EJaKn5rebS4YawOQBJ-viUSaVdsUGJv3fGLk&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=anwYWseuipHFNp6FfIPomg%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4145060930,Praktikant (w/m/d),Rödl & Partner USA,"Atlanta, GA (On-site)",$20/hr - $32/hr,https://www.linkedin.com/jobs/view/4145060930/?eBP=CwEAAAGZhxZCI70EbE3ZMtOTKptkliHSy9WOkIDtPm34fEzLdu7B7lgAlK_ocBTPj5Xpc8z-rOkRzXKPrpq7_f6pzaXJMvfikGsTsIC1brO_R8Y1Q7zuTyk-KrN_Jc4IoiOO2_3yWWj55ZU4_6swnrzd4uBL2fPYwVmdB54lAw-Azq2-WmE6szX8FKoZsqTk3EY_YVk1heXmjGet1mrVZFndHxFAy-mF4RX5lkOjBCr3x_HH_9sUDfG5o10aSHf8d_ADbGTodZThiJANPIrIwBRBp1W9pmhLjufYjPjJnPUeyjyFhJHy8YhLVgLURw2swV4ETrCFP3gX8hYFsddO0CjQMhP2ZpGCGKzMdginOvw2wm7dxniPlCj0SkxmDu_NOEeq3e6JtjMZqyW8toNFOtvSJmiLTPy50RCPR5nSgydB5g147kWyjdx6H9k6tcp2suqDjcBQc26oWh4X6JS5sHn6v1jqY7iNYtSGEA-uJp8NwklsJDAfSyvRjwonIqjpCBokXVk&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=zDZJqBUP1eTeVz8jtrJ%2BMQ%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4289480074,Counterterrorism and Forensic Science Research Unit Opportunity,Oak Ridge Institute for Science and Education,"Quantico, VA (On-site)",$45K/yr - $85K/yr · 3 benefits,https://www.linkedin.com/jobs/view/4289480074/?eBP=CwEAAAGZhxZCI7U2HW_v4wj0kio6GAbvE4XfR7M1D0fBHzi0IfCt9GkZ1qFMorG2iqV-BpQykCL0cRIo7JQC17S5ioYoNItTSCxTNYL4jm1OM-X5YumdmT20ZW3kJlXN3Bl0ENZmZ61ZcG8nb5L3D5_V0xv4TSMltyVExvTZn_BaddsAH1i5ruowbicFNuUKONPkvNpZl-KBn3y3S7-WUtfpmCydFPHFh_BQRlTDu0dqZGYtmLRDwaNnpIKhxziYh70wimLwDqXrBQZR5LlSRyYez6gXnft-M7AUqAhqT6aHVRx3gNWIsWaXr9V5b95g_M4e_DcNuCXy-p1qxhWAopAoa2EJ88QRgfgFfQIX8_LG3HBYvzDlYV-s8LHNtu_IWy36TCntTz-N5VAfRnG8VRWrx2H3m6qODc_LAiX6qoAECLzwVT67Ux9kQNHiJkp-lf46Ms91fz1fxDfxGIYgv_BaB0fp8xWqI_AjrR7Bm44yJcmwdOcIkY6JKoCXxEqmiFnn66JGMQ&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=YNHzwrGDOZXYT2XA327d1w%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4227919269,Robot Optics Intern,Neuralink,"Fremont, CA (On-site)","$35/hr · Vision, +1 benefit",https://www.linkedin.com/jobs/view/4227919269/?eBP=CwEAAAGZhxZCI9o6jhNxDsHceKMDHJYbkMPPV2BOkuTv7D45i8TYT-9gpn63Mz4nctFO7vLruyZbjtaaYw1kRQ3fzGh8NAMIPKiFEClF_NvsleyAD9zEsXEdWdiJoikfz47uxDfQWT6HU9baP7ALP4JVZHPPr2DVaX4SC3n21vgh_ChggsknSTzEzAz8doGoKVlJ3kslXBKnYhJW0myWX5ri0hLZrR3Z_E-f_GPi0EQgflpyZtJww2P1MgT0sQOcrxl8a_W90Je-YHSp_N0f2AAGvKb3JALZoW3gEaKA_YZW2JLhFTp9D-ZgsQEsL8nDzJ0RC7MtxgOlX57-YFEm3LSeWsZVH1FdU8k2WLtfLhZg9JrUIFeVYsk8YmHTmirxJcA7eeq4QSy1ogKZhbXHttAEtKPNacaK24NkQdykjzP2ZfShlylpPyMi7zjhe5LSXKXkmVVrgCJzxyOnC4autdI_QMhKN-_XMpgUieFR6miIg2-oLoS12hUVFGJAnkA7xw29Du_0s0DRQ7I&refId=AFK0i5jcJKRfsl58VjGnCQ%3D%3D&trackingId=CfAuqU6UIIM4eEMSu4jOfg%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
,,,,,,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=2
4272420908,Paramedic Intern,RWJBarnabas Health,"New Brunswick, NJ",$15.49/hr - $22/hr · Critical Care Transport (CCT) · Day,https://www.linkedin.com/jobs/view/4272420908/?eBP=CwEAAAGZhxZ5VrGYpiON0QsaHEEZAi5UjkRkcTEj9C0R9S74X5J76OSMFhFUe9Nath90e9pESySxB4EM6RwjCNnewE9kvHQ0mx9dYT60L6fX8TyD0-43gC6HTHrbqtIjM-ziHy0J7GE6jJTx_-HXbsHWVHMxz-7gy_93YQpaXJtnmB2xGHa30Mlrm5dBAiZlb-fPS06KRdaIcAyV9te1yJOj_Qy6z_C55RCUoQSgaiG0utaDNMW3Nk4loxNViPhViKR2anHQpAsEJ7vav7mGRkSgybR_EEc3fJiemlfypPrQQj6w5r5Znf4gPjeet88m4JO04MKLTH-g_HyzEPoRjDGke_05byl6tB5LLi9jaOSXwzHUONif5WUtDQOVO7JjI4l35gaJEYHmCM8T2wwu6rTnwmWBaZp6_adtuulwKSdAteRcy0iOqgEEQbD3dintcGsh98ks7lrSMfrtUV220LZFg1knm1RRyiKGJVREMPP8AII3ZRzAvMS59dc-KUYVlodWfAtj4w&refId=suq4e17XQTbekaRAErEzFQ%3D%3D&trackingId=qguwx9na7qsBy0UoSTM0tA%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=1
4258075336,Carpenter Apprentice | Mortenson,Mortenson,"Cedar Rapids, IA",$26.95/hr,https://www.linkedin.com/jobs/view/4258075336/?eBP=CwEAAAGZhxZ5Vmdy4RQma8Cxz37jkSDBAdQylv_kS99H10cGGqc4L3QDGB0iPR8jF1bwZzX-uI9rycqVwy4vJGvwM4psaLt2hTz32ZgibLzN0X2UG6CQk1MXfUGNbNv8t12nS30AT92UD3CbH_WGzYW6P9sLJAPzUzzGGblRo83PLg1XShML7BCCowpBQF2_e9Q0pfd89Wg4w-aSZFh_NTciwLcca6Q1t0uY3ED91Uv73PPFuKZzF-KNzyOeeviB9-KHP6fMEbk40QFtf3iRSidYwSFPLC8UfFsEc7BuZMISDWQ0Tdiwb1AV6mf2SUhY5hdVAAjD07QidKTzLlR2sLCmqiTPml0kMH1oa56Vf_Z6yMAsJR8s6L75fnQE98mNbbb6QWd84lSQKKnMdYPySTzQpcm1X5K8eiy5h70_46QJfxiB_WKzjzYYEYFPsaRc_iLUPcs_nC6fbHDvvFUv6odwe4tXXRzSBO2WnanstaZxkScVtZJgPdprlJ-lFiS4Fv-BQaw&refId=suq4e17XQTbekaRAErEzFQ%3D%3D&trackingId=XrsIOpEk4%2FPL28ObR99vTQ%3D%3D&trk=flagship3_search_srp_jobs,https://www.linkedin.com/jobs/search/?keywords=data+center&location=United+States&sortBy=R&f_E=1&f_WT=1&f_TPR=None&f_SB2=1
